name,gender,inhouse,caegory,title,urls,likes,profile,photolink
工藤 郁子,2,,7月のプロピッカー,大阪大学社会技術共創研究センター 招聘教員,https://newspicks.com//user/981762?ref=recommended-picker,292,工藤 郁子       大阪大学社会技術共創研究センター 招聘教員   ジャンル: AI・IoT  もらったいいね数: 292  大阪大学社会技術共創研究（ELSI）センター招聘教員。 世界経済フォーラム第四次産業革命日本センタープロジェクト戦略責任者、東京大学未来ビジョン研究センター客員研究員、一般社団法人日本ディープラーニング協会（JDLA）有識者会員等も務める。専門は情報法政策。共著に『AIと憲法』、『ロボット・AIと法』、『在野研究ビギナーズ』など。  Instagram https://www.instagram.com/hondanachan/  … 続きを読む,https://newspicks.com//users/981762/cover?width=128&height=128&circle=true&t=20210630213157000
前田 瑶介,1,,7月のプロピッカー,WOTA 代表取締役CEO,https://newspicks.com//user/355655?ref=recommended-picker,84,前田 瑶介       WOTA 代表取締役CEO   ジャンル: エネルギー・環境  もらったいいね数: 84  1992年徳島県生まれ。 東京大学工学部建築学科卒業、同大学院工学研究科建築学専攻（修士課程）修了。 幼少期より生物研究に明け暮れ、高校時代には食用納豆由来γポリグルタミン酸を用いた水質浄化の研究を行い日本薬学会で発表。 大学・大学院在学中より、大手住宅設備メーカーやデジタルアート制作会社の製品・システム開発に従事。 その後起業し、建築物の省エネ制御のためのアルゴリズムを開発・売却後、WOTA株式会社に参画しCOOに就任。 現在同社CEOとして、自律分散型水循環社会の実現を目指す。  … 続きを読む,https://newspicks.com//users/355655/cover?width=128&height=128&circle=true&t=20210622060343000
今井 紀明,1,,7月のプロピッカー,認定NPO法人D×P 理事長,https://newspicks.com//user/219135?ref=recommended-picker,2677,今井 紀明       認定NPO法人D×P 理事長   ジャンル: 教育  もらったいいね数: 2677  1985年札幌生まれ。立命館アジア太平洋大学（APU）卒。神戸在住、ステップファザー。高校生のとき、イラクの子どもたちのために医療支援NGOを設立。その活動のために、当時、紛争地域だったイラクへ渡航。その際、現地の武装勢力に人質として拘束され、帰国後「自己責任」の言葉のもと日本社会から大きなバッシングを受ける。結果、対人恐怖症になるも、大学進学後友人らに支えられ復帰。偶然、中退・不登校を経験した10代と出会う。親や先生から否定された経験を持つ彼らと自身のバッシングされた経験が重なり、2012年にNPO法人D×Pを設立。 経済困窮、家庭事情などで孤立しやすい10代が頼れる先をつくるべく、LINE相談「ユキサキチャット」や定時制高校での授業や居場所事業を行なう。10代の声を聴いて伝えることを使命に、SNSなどで発信を続けている。  https://twitter.com/NoriakiImai https://www.facebook.com/noriaki.imai https://www.dreampossibility.com/  … 続きを読む,https://newspicks.com//users/219135/cover?width=128&height=128&circle=true&t=20210630232252000
熊平 美香,2,,7月のプロピッカー,21世紀学び研究所 / 昭和女子大学キャリアカレッジ 代表理事/学院長,https://newspicks.com//user/1932594?ref=recommended-picker,208,熊平 美香       21世紀学び研究所 / 昭和女子大学キャリアカレッジ 代表理事/学院長   ジャンル: キャリア  もらったいいね数: 208  青山学院大学法学部卒業。ハーバードビジネススクールMBA修了。熊平製作所の取締役経営企画室長を経て、シリコンバレーにてThe Bear Groupを設立。その後、藤田田・元マクドナルド社長に弟子入りし、新規事業の立ち上げに携わる。カルチュア・コンビニエンス・クラブ株式会社の取締役、GEリーダーシップ開発を日本に紹介する等を経て、現職。  … 続きを読む,https://newspicks.com//users/1932594/cover?width=128&height=128&circle=true&t=20210630181744000
岡 玄樹,1,,7月のプロピッカー,レッドハット株式会社 代表取締役社長,https://newspicks.com//user/3817652?ref=recommended-picker,1705,岡 玄樹       レッドハット株式会社 代表取締役社長   ジャンル: IT・テクノロジー  もらったいいね数: 1705  現在レッドハット株式会社の代表取締役社長を務める。事業会社の経営者としては、日本マイクロソフトのCOOやアント・グループの日本代表を歴任。それ以前は、ソフトバンク・グループのビジョン・ファンドの前身の立ち上げのためシリコンバレーに在住。10年以上在籍したマッキンゼー・アンド・カンパニーではパートナーとして、M&Aグループの日本統括リーダーを務める。ハイテク、ヘルスケア、プライベートエクイティなどのクライアントを中心にグローバル戦略、海外企業のM&A、研究開発および営業改革の分野でのコンサルティング経験が豊富。米コロンビア大学MBA取得後にマッキンゼーのニューヨーク支社に入社。慶應義塾大学環境情報学部卒業後は、リーマン・ブラザーズ証券の投資銀行本部にてM&A業務に従事。著書に『マッキンゼーのパートナーが伝授する最強のチームの作り方』(アスペクト)、『MBA留学ハンドブック~思い立った瞬間から卒業するまで~』(文芸社)と『クロスロード』(文芸社)がある。  … 続きを読む,https://newspicks.com//users/3817652/cover?width=128&height=128&circle=true&t=20210712233948000
岩嵜 博論,1,,7月のプロピッカー,武蔵野美術大学 クリエイティブイノベーション学科 教授,https://newspicks.com//user/134987?ref=recommended-picker,108,岩嵜 博論       武蔵野美術大学 クリエイティブイノベーション学科 教授   ジャンル: アート・文化  もらったいいね数: 108  博報堂においてマーケティング、ブランディング、イノベーション、事業開発、投資などに従事した後、現職。ストラテジックデザイン、ビジネスデザインを専門として教育・研究、実務を行っている。ビジネス✕デザインのハイブリッドバックグラウンド。国際基督教大学教養学部卒業、慶應義塾大学大学院政策・メディア研究科修士過程、イリノイ工科大学Institute of Design修士課程、京都大学経営管理大学院博士後期課程修了。博士（経営科学）。著書に『機会発見―生活者起点で市場をつくる』（英治出版）など。  … 続きを読む,https://newspicks.com//users/134987/cover?width=128&height=128&circle=true&t=20210605063551000
眞々部 貴之,1,,7月のプロピッカー,S&P グローバル Sustainable1 シニアESGビジネスデベロップメントマネージャー,https://newspicks.com//user/6362414?ref=recommended-picker,99,眞々部 貴之       S&P グローバル Sustainable1 シニアESGビジネスデベロップメントマネージャー   ジャンル: エネルギー・環境  もらったいいね数: 99  S&P Global Sustainable1にて日本及び韓国におけるESGビジネスデベロップメントを担当。非財務データを活用し、金融機関や事業会社のESG情報開示や戦略策定を支援している。これまでに楽天株式会社サステナビリティ部シニアマネージャー、三菱UFJリサーチ&コンサルティング研究員、知床財団研究員、農林水産省の持続可能な生産と消費に関する検討委員など、様々な立場で10年以上環境・持続可能性に携わる。東京大学大学院新領域創成科学研究科自然環境学専攻修了。信州大学農学部森林科学科卒。大阪大学社会ソリューションイニシアティヴ（SSI）招聘研究員。技術士(環境部門、森林部門）。  … 続きを読む,https://newspicks.com//users/6362414/cover?width=128&height=128&circle=true&t=20210706133100000
田口 一成,1,,7月のプロピッカー,株式会社ボーダレス・ジャパン 代表取締役社長,https://newspicks.com//user/142510?ref=recommended-picker,211,田口 一成       株式会社ボーダレス・ジャパン 代表取締役社長   ジャンル: 教育  もらったいいね数: 211  1980年生まれ。25歳でボーダレス・ジャパン創業。世界15カ国でソーシャルビジネス。みんなでSTOP地球温暖化『ハチドリ電力』を設立。自然エネルギーを全国のオフィス、店舗、そして家庭へ。 著書『9割の社会問題はビジネスで解決できる』 リンクツリーにまとめました→ https://linktr.ee/taguchikazunari  … 続きを読む,https://newspicks.com//users/142510/cover?width=128&height=128&circle=true&t=20210706121328000
カン ハンナ,2,,社会,国際社会文化学者/ タレント(ホリプロ所属)/ 株式会社BeautyThinker CEO,https://newspicks.com//user/3125585?ref=recommended-picker,14905,カン ハンナ       国際社会文化学者/ タレント(ホリプロ所属)/ 株式会社BeautyThinker CEO    ジャンル: 国際政治  もらったいいね数: 14905  【国際社会文化学者(メディア・コンテンツ研究)・タレント(ホリプロ所属)・歌人・株式会社 BeautyThinker CEO】  韓国でニュースキャスター、経済専門チャンネルMCやコラムニストなどを経て、2011年に来日。現在、ホリプロ所属タレント。NHK Eテレ「NHK短歌」レギュラー出演から、テレビ東京「未来世紀ジパング」で韓国事情を語るなど多方面で活動中。  2017年「第63回角川短歌賞」次席など、3年連続角川短歌賞に入選し、史上初の外国人入選者として話題を呼ぶ。2019年12月、第一歌集『まだまだです』(KADOKAWA)を出版し、歌人としてデビューを果たした。第21回「現代短歌新人賞」を受賞。  2015年、横浜国立大学大学院都市イノベーション学府地域社会専攻を卒業し、現在、横浜国立大学大学院で博士後期課程在学中。主な研究分野は、国際社会文化学とメディア学(特に日韓社会文化研究、またはグローバルコンテンツ研究)。  2019年には株式会社 Beauty Thinkerを設立し、100%ビーガンコスメブランド「mirari」をローンチ。グローバル展開やビューティー関連アプリ開発にも注力している。  その他、韓国では日本に関する書籍を8冊ぐらい出版。元数学オリンピック韓国代表。  … 続きを読む,https://newspicks.com//users/3125585/cover?width=128&height=128&circle=true&t=20210122013954000
氏家 夏彦,1,,社会,メディア・コンサルタント フリーランス,https://newspicks.com//user/136938?ref=recommended-picker,57802,氏家 夏彦       メディア・コンサルタント フリーランス   ジャンル: メディア  もらったいいね数: 57802  放送批評懇談会機関誌GALAC副編集長 メディア論ブログ「あやぶろ」編集長（http://ayablog.com/） 元電通総研フェロー/元TBSメディア総研社長 TBSで報道、バラエティー、情報番組を制作、 経営企画局長、コンテンツ事業局長 元TBSトライメディア社長/TBSディグネット社長  … 続きを読む,https://newspicks.com//users/136938/cover?width=128&height=128&circle=true&t=20210122134048000
福田 拓哉,1,,社会,九州産業大学・VOREAS北海道,https://newspicks.com//user/960153?ref=recommended-picker,6960,福田 拓哉  九州産業大学・VOREAS北海道    もらったいいね数: 6960  【九州産業大学准教授、ヴォレアス北海道社外取締役】  大家友和ベースボールクラブ、京都パープルサンガ、福岡ソフトバンクホークスマーケティングを経て2007年から新潟経営大学にて研究者としてのキャリアをスタート。スポーツマーケティング、プロスポーツビジネスが専門。  福岡ソフトバンクホークス、アルビレックス新潟後援会、ルートインBCリーグなど、地域密着型プロスポーツ組織との産学協働プロジェクトを多数手掛ける。  2019年10月から旭川市を中心とする上川地域を本拠地に活動するプロバレーボールクラブ・ヴォレアス北海道の社外取締役に就任。主にマーケティングに関するサポートを通じてV1昇格＆優勝を果たすために協力している。  また、福田ゼミとして読売新聞東京本社主催・読売巨人軍主催「大学生のベースボールアワード」での全国最多受賞歴(大賞4回、優秀賞8回)を誇る。博士(経営学・立命館大学)。北海道小樽市生まれ。  九州産業大学人間科学部スポーツ健康科学科 　https://www.kyusan-u.ac.jp/faculty/human_sciences/sports/ ヴォレアス北海道 　https://voreas.co.jp  facebook:https://www.facebook.com/num.fukuda.seminar/ twitter:https://twitter.com/takuya_fukuda  … 続きを読む,https://newspicks.com//users/960153/cover?width=128&height=128&circle=true&t=20210112160449000
瀬地山 角,1,,社会,東京大学　総合文化研究科 教授,https://newspicks.com//user/6434268?ref=recommended-picker,3106,瀬地山 角       東京大学　総合文化研究科 教授   ジャンル: アート・文化  もらったいいね数: 3106  1963年生まれ、奈良県出身。1986年東京大学教養学部卒。同大大学院総合文化研究科博士課程修了、学術博士。1994年東京大学助教授、2009年同教授。この間ソウル大学に留学、ハーバード大学、カリフォルニア大学バークレー校で客員研究員。日テレ「世界一受けたい授業」の東大生100人に聞くアンケートで、人気No.1に選ばれた「ジェンダー論」の講義は受講者が500人を超える。爆笑の起きる講演で47都道府県を子連れで回り、NPO法人の理事として保育所を経営。著書に『炎上ＣＭでよみとくジェンダー論』（光文社新書、2020年）などがある。  … 続きを読む,https://newspicks.com//users/6434268/cover?width=128&height=128&circle=true&t=20210318065848000
加藤 史子,2,,社会,WAmazing株式会社 代表取締役社長：経営者,https://newspicks.com//user/296092?ref=recommended-picker,73271,加藤 史子       WAmazing株式会社 代表取締役社長：経営者   ジャンル: アート・文化  もらったいいね数: 73271  ・WAmazing株式会社　代表取締役 ・（株）リクルートライフスタイルじゃらんリサーチセンター客員研究員  慶応義塾大学環境情報学部（SFC）→（株）リクルート（現、リクルートホールディングス）入社。「じゃらんnet」の立ち上げ、「ホットペッパーグルメ」の立ち上げなど、主にネットの新規事業開発を担当した後、観光による地域活性を行う「じゃらんリサーチセンター」に異動。スノーレジャーの再興をめざし「雪マジ！19」を立ち上げ。その後、「Ｊマジ！」「ゴルマジ！」「お湯マジ！」「つりマジ！」…など若者の行動支援プラットフォーム「マジ☆部」を立ち上げ。2016年7月、訪日外国人旅行者向けアプリサービスを展開するWAmazing（わめいじんぐ）を創業。 ・週刊トラベルジャーナル／日経産業新聞にて連載記事執筆中 ・国土交通省、福井県、茨城県、横須賀市等で観光関連有識者委員  … 続きを読む,https://newspicks.com//users/296092/cover?width=128&height=128&circle=true&t=20190913010451000
岡部 恭英,1,,社会,TEAMマーケティング (UEFAチャンピオンズリーグ) ヘッド・オブ・アジアパシフィックセールス,https://newspicks.com//user/533775?ref=recommended-picker,40060,岡部 恭英       TEAMマーケティング (UEFAチャンピオンズリーグ) ヘッド・オブ・アジアパシフィックセールス   ジャンル: スポーツ  もらったいいね数: 40060  ⚽️世界最高峰UEFAチャンピオンズリーグで働く初のアジア人 | 🇨🇭在住 | Jリーグアドバイザー | 欧州サッカー協会専属マーケティング代理店「TEAMマーケティング」のテレビ放映権&スポンサーシップ営業 アジア・パシフィック地域統括責任者  日本とスポーツを盛り上げるご相談は、ツイッター@yasuokabe まで！  Go Global - 岡部恭英グローバル人材育成アカデミー同志募集中！  https://mosh.jp/31121/home  鹿島アントラーズ小泉社長✖シントトロイデン村中会長✖岡部恭英「LYDオンラインサロン」   https://lounge.dmm.com/detail/1731  著書：国際スポーツ組織で働こう！ http://amzn.asia/bS702mr  NewsPicksプロピッカー | 連載:   スポーツビジネスに挑む日本人たち https://newspicks.com/user/9147  ボードウォーク顧問 https://boardwalk-inc.jp HALFTIMEアドバイザー http://www.halftime.co.jp 有楽町MSDプロデューサー https://yurakucho-msd.com スポーツビジネスサミット(SBS)代表 https://voreas.co.jp/sbs/ 日本スポーツビジネス大賞審査委員 https://sports.yahoo.co.jp/contents/630 ケンブリッジ大学院MBA http://www.jbs.cam.ac.uk/programmes/mba 慶應義塾体育会ソッカー部出身 http://keio-soccer.com 市立千葉高校サッカー部出身  海外在住24年🇨🇭🇬🇧🇺🇸🇸🇬🇻🇳  夢「FIFAワールドカップ日本再開催して日本代表初優勝！」  得意技: 人生楽しむこと|巻き込み力|国際&アジアビジネス|スポーツマーケティング|放映権|スポンサーシップ|セールス|交渉|国際渉外  下記ライフワークに爆進中！日本を一緒に盛り上げましょう！  「愛する日本をもっと盛り上げる」  「日本の良い人コト物を世界に広める」  「日本人の国際舞台での活躍をエンパワー」  * 発言内容は所属先とは独立した個人の見解です  … 続きを読む,https://newspicks.com//users/533775/cover?width=128&height=128&circle=true&t=20210416104335000
碓氷 早矢手,1,,社会,講談社 第二事業戦略部 部長,https://newspicks.com//user/127567?ref=recommended-picker,40115,碓氷 早矢手       講談社 第二事業戦略部 部長   ジャンル: メディア  もらったいいね数: 40115  碓氷 早矢手（うすい はやて）といいます。 メディアの運営を通じて「おもしろくて、ためになる」を女性に届けること、が仕事です。 講談社にある女性メディア（ViVi、with、VOCE、ミモレ、FRaU、Ai）の中で、ミモレ、FRaU、THE NIKKEI MAGAZINE STYLE Aiといった「おとなの女性向けメディア」の編集・運営・事業開発をしています。 過去、総合格闘技に選手として取り組んでいました。いまは、メディア運営に、総合格闘技的に取り組んでいます。 Twitterはたまに反応します。@usuihayate  … 続きを読む,https://newspicks.com//users/127567/cover?width=128&height=128&circle=true&t=20210626181954000
小川 一,1,,社会,毎日新聞 客員編集委員,https://newspicks.com//user/172383?ref=recommended-picker,140514,小川 一       毎日新聞 客員編集委員   ジャンル: メディア  もらったいいね数: 140514  毎日新聞客員編集委員、インターネットメディア協会理事、成城大学非常勤講師などをしています。毎日新聞では社会部長、編集編成局長、取締役デジタル担当、編集編成担当などを務めました。  … 続きを読む,https://newspicks.com//users/172383/cover?width=128&height=128&circle=true&t=20210710024945000
中野 円佳,2,,社会,ジャーナリスト／教育社会学,https://newspicks.com//user/174660?ref=recommended-picker,15645,中野 円佳       ジャーナリスト／教育社会学   ジャンル: メディア  もらったいいね数: 15645  1984年生まれ。東京大学教育学部を卒業後、日本経済新聞社に入社。大企業の財務や経営、厚生労働政策を取材。2015年4月よりフリー、東京大学大学院教育学研究科博士課程。厚生労働省「働き方の未来2035懇談会」、経済産業省「競争戦略としてのダイバーシティ経営（ダイバーシティ2.0）の在り方に関する検討会」「雇用関係によらない働き方に関する研究会」委員。2児の母。著書に『「育休世代」のジレンマ』『上司の「いじり」が許せない』『なぜ共働きも専業もしんどいのか』。シンガポール在住。  … 続きを読む,https://newspicks.com//users/174660/cover?width=128&height=128&circle=true&t=20200503111816000
豊田 啓介,1,,社会,建築家、noizパートナー、gluonパートナー、東京大学生産技術研究所客員教授,https://newspicks.com//user/1163636?ref=recommended-picker,3276,豊田 啓介       建築家、noizパートナー、gluonパートナー、東京大学生産技術研究所客員教授   ジャンル: アート・文化  もらったいいね数: 3276  1972年、千葉県出身。1996～2000年、安藤忠雄建築研究所。2002～2006年、SHoP Architects（ニューヨーク）を経て、2007年より東京と台北をベースにnoiz を蔡佳萱、酒井康介と共同主宰。2017年、「建築・都市×テック×ビジネス」がテーマの領域横断型プラットフォーム gluonを金田充弘と共同で設立。2025年大阪・関西国際博覧会 誘致会場計画アドバイザー（2017年～2018年）。東京大学生産技術研究所客員教授  … 続きを読む,https://newspicks.com//users/1163636/cover?width=128&height=128&circle=true&t=20201130085214000
星野 貴彦,1,,社会,プレジデントオンライン 編集長,https://newspicks.com//user/155240?ref=recommended-picker,19029,星野 貴彦       プレジデントオンライン 編集長   ジャンル: メディア  もらったいいね数: 19029  1981年生まれ。2004年慶應義塾大学文学部卒業、日本放送協会（NHK）入社。記者として甲府放送局に勤務。06年プレジデント社へ。プレジデント編集部を経て、17年プレジデントオンライン副編集長。18年7月より現職。  … 続きを読む,https://newspicks.com//users/155240/cover?width=128&height=128&circle=true&t=20210405152401000
白河 桃子,2,,社会,相模女子大学特任教授　新刊「働かないおじさんが御社をダメにする」,https://newspicks.com//user/765963?ref=recommended-picker,21451,白河 桃子       相模女子大学特任教授　新刊「働かないおじさんが御社をダメにする」   ジャンル: ヘルスケア・福祉  もらったいいね数: 21451  2月新刊「働かないおじさんが御社をダメにする　ミドル人材活躍の処方箋」 「ハラスメントの境界線」「御社の働き方改革、ここが間違ってます！」働き方改革実現会議　男女共同参画重点方針調査会　委員  著書：女子と就活　妊活バイブル　産むと働くの教科書　格付けしあう女たち　専業主婦になりたい女たち　専業主夫になりたい男たち 少子化、働き方改革、女性活躍、ライフキャリア、ライフプラン、キャリアデザイン、男女共同参画、ワークライフバランス等がテーマ   … 続きを読む,https://newspicks.com//users/765963/cover?width=128&height=128&circle=true&t=20210223125928000
乙武 洋匡,1,,社会,作家,https://newspicks.com//user/166572?ref=recommended-picker,69243,乙武 洋匡  作家    もらったいいね数: 69243  義足プロジェクト、応援してください！ https://vimeo.com/358235448  … 続きを読む,https://newspicks.com//users/166572/cover?width=128&height=128&circle=true&t=20200115133253000
酒井 崇匡,1,,社会,博報堂生活総合研究所 上席研究員,https://newspicks.com//user/2487773?ref=recommended-picker,20422,酒井 崇匡       博報堂生活総合研究所 上席研究員   ジャンル: 広告・マーケティング  もらったいいね数: 20422  2005年博報堂入社。マーケティングプラナーを経て、12年より現職。 デジタル空間上のビッグデータを活用した生活者研究の新領域｢デジノグラフィ｣を様々なデータホルダーとの共同研究で推進中。 行動や生声あるいは生体情報など、可視化されつつある生活者のデータを元にした発見と洞察を行っている。 新刊に『デジノグラフィ　インサイト発見のためのビッグデータ分析』(共著) https://www.amazon.co.jp/dp/4883355101/ その他の著書に『自分のデータは自分で使う マイビッグデータの衝撃』（星海社新書）がある。 2018年1月よりNewsPicks Pro Picker。NewsPicks内特集では『コロナ後の世界』、『イノベーターズ･トーク　消費の次』、『ProPickers NOTE』などで寄稿。  … 続きを読む,https://newspicks.com//users/2487773/cover?width=128&height=128&circle=true&t=20210401183817000
今井 明子,2,,社会,サイエンスライター・気象予報士,https://newspicks.com//user/5813354?ref=recommended-picker,6480,今井 明子       サイエンスライター・気象予報士   ジャンル: ヘルスケア・福祉  もらったいいね数: 6480  京都大学農学部卒。気象予報士。得意分野は科学系（おもに医療、地球科学、生物）をはじめ、育児、教育、働き方など。｢Newton｣｢東洋経済オンライン｣｢暦生活｣｢Business Insider Japan｣FRIDAYデジタル｣などで執筆。著書に｢天気と気象の特別授業｣（共著、三笠書房知的生き方文庫）、｢異常気象と温暖化がわかる｣（技術評論社）などがある。気象予報士として、お天気教室や防災講座の講師、気象科学館の解説員なども務める。 https://akikoimai.biz/  … 続きを読む,https://newspicks.com//users/5813354/cover?width=128&height=128&circle=true&t=20210112082938000
干場 弓子,2,,社会,ディスカヴァー・トゥエンティワン 共同創業者,https://newspicks.com//user/151523?ref=recommended-picker,10413,干場 弓子       ディスカヴァー・トゥエンティワン 共同創業者   ジャンル: メディア  もらったいいね数: 10413  出版社ディスカヴァー・トゥエンティワンを共同創業、以後、社長として35年間、同社を取次を通さない直取引で日本随一のビジネス書系出版社に育て上げた。編集者としても勝間和代氏らベストセラー著者を多数発掘育成。2020年1月独立後は、執筆、講演、一般企業の顧問等を行う。（一社）日本書籍出版協会初代女性理事、IPA(国際出版連合） 日本代表理事他。主な著書に『楽しくなければ仕事じゃない』（東洋経済新報社2019）。  … 続きを読む,https://newspicks.com//users/151523/cover?width=128&height=128&circle=true&t=20201127011647000
竹内 純子,2,,社会,国際環境経済研究所 理事・主席研究員,https://newspicks.com//user/829794?ref=recommended-picker,36211,竹内 純子       国際環境経済研究所 理事・主席研究員   ジャンル: エネルギー・環境  もらったいいね数: 36211  エネルギー問題・環境問題について主にコメントさせていただきます。よろしくお願いいたします。  … 続きを読む,https://newspicks.com//users/829794/cover?width=128&height=128&circle=true&t=20200731010927000
藤井 勇人,1,,社会,在ブラジル建築プロデューサー／隈研吾建築都市設計事務所ブラジル担当室長,https://newspicks.com//user/6672060?ref=recommended-picker,734,藤井 勇人       在ブラジル建築プロデューサー／隈研吾建築都市設計事務所ブラジル担当室長   ジャンル: アート・文化  もらったいいね数: 734  多感な時期をリオ・デ・ジャネイロで過ごしたことからアンテナが地球の裏側ブラジルに。早稲田大学理工学部建築学科卒業後、サンパウロ近郊の市役所職員としてスラム（ファヴェーラ）の住民組織と共に家づくりを学ぶ。帰国後、デザイン・建築設計事務所を経て2009年に再度ブラジルへ移住。建設会社勤務時代に外務省の対外発信拠点ジャパン・ハウス サンパウロの立ち上げを行う。現在は主にブラジル国内の小売業界にて店舗開発、ブランディング、新規事業を推進する傍ら、ブラジルの建築や都市関連の情報を日本のメディア・書籍に執筆なども行う。現行のブラジル国認定建築士唯一の日本人。  … 続きを読む,https://newspicks.com//users/6672060/cover?width=128&height=128&circle=true&t=20210511195008000
柳瀬 博一,1,,社会,東京工業大学 リベラルアーツ研究教育院　教授,https://newspicks.com//user/144046?ref=recommended-picker,1307,柳瀬 博一  東京工業大学 リベラルアーツ研究教育院　教授    もらったいいね数: 1307  1988年慶應義塾大学経済学部卒。 同年日経マグロウヒル社（のちの日経BP社）入社。 日経ビジネス編集部、日経ロジスティクス編集部などを経て、 出版局で書籍編集に従事。 2006年スタートの日経ビジネスオンラインの事業構築に参画。 2008年より、広告企画のプロデューサーに。 2018年4月より現職。 著書に『国道16号線　「日本」を創った道』(新潮社)  … 続きを読む,https://newspicks.com//users/144046/cover?width=128&height=128&circle=true&t=20210709221446000
齊藤 三希子,2,,社会,ルール形成戦略研究所（EY Japan シニアマネージャー） 客員研究員,https://newspicks.com//user/336510?ref=recommended-picker,18617,"齊藤 三希子       ルール形成戦略研究所（EY Japan シニアマネージャー） 客員研究員   ジャンル: エネルギー・環境  もらったいいね数: 18617  ルール形成戦略研究所 客員研究員（https://crs-japan.org/）。細胞農業研究会 事務局運営。 2019年4月よりEY Japan シニアマネージャー。早稲田大学大学院修了。2019年3月までNTTデータ経営研究所に所属。 https://www.eyjapan.jp/services/advisory/column/index.html https://note.mu/mikikosaito  地域資源（食、文化、人材、エネルギー）を活用した持続可能な地域モデルの創出、「農業×エネルギー」「食農×医療・福祉」「食農×デジタル」、BioTech,、細胞農業、Food Tech等による農家の経営安定化、地域活性化等に取り組む。 再生可能・未利用エネルギーを活用した地域活性化、ICTを活用した高付加価値農業の検討等に従事。  最近は、バイオエコノミー、ゲノム、食のヘルスケア、サーキュラーエコノミー関連にも取り組み中。 『環境ビジネスオンライン』にて連載中。 地域の共有財産である再エネ・未利用エネルギーをデザインすることにより、少しでも地域を活性化していければと考えています。  化石エネルギーへの依存度の低い農業と地域のエネルギー自給の両立、農業の収益性向上を目指し、GEF産学共創パートナーシップを立ち上げました。 https://www.nttdata-strategy.com/gef/  … 続きを読む",https://newspicks.com//users/336510/cover?width=128&height=128&circle=true&t=20201129025105000
高橋 義仁,1,,社会,専修大学 商学部教授,https://newspicks.com//user/1310166?ref=recommended-picker,13468,高橋 義仁       専修大学 商学部教授   ジャンル: 経営学  もらったいいね数: 13468  戦略経営、技術経営、コンペティティブ・インテリジェンス、医薬・バイオ企業の経営が専門。早稲田大学学術博士(PhD)、マサチューセッツ工科大学技術経営修士(MSc in Management of Tech.)、薬剤師免許取得。武田薬品工業勤務・経営および製品戦略担当の後、アジア市場経済学会会長、日本コンペティティブ・インテリジェンス学会理事、早稲田大学准教授等を歴任。関心事は専門領域のほか、コーポレート・ガバナンス、人口減少問題と地方活性化・移住。  ※ 個人の意見としてのコメントにつき、所属機関の見解とは異なります。正確性・完全性は保証されません。コメントの無断転載はご遠慮下さい。  … 続きを読む,https://newspicks.com//users/1310166/cover?width=128&height=128&circle=true&t=20210301092411000
重松 健,1,,社会,Laguarda.Low Architects 共同代表,https://newspicks.com//user/668973?ref=recommended-picker,3647,重松 健       Laguarda.Low Architects 共同代表   ジャンル: アート・文化  もらったいいね数: 3647  ニューヨークの建築家、都市計画家。世界25ヵ国でプロジェクトを展開。 都市建築を超えたコラボレーションにより様々な社会課題の解決を提案するinspiring dotsを主催。 東京G-LINE、B-LINEの提唱者。 街は人のために！アイデアは絵に！そして実験。  … 続きを読む,https://newspicks.com//users/668973/cover?width=128&height=128&circle=true&t=20210704071727000
堀内 隆,1,,社会,GLOBE+ 編集長,https://newspicks.com//user/3468023?ref=recommended-picker,29381,堀内 隆       GLOBE+ 編集長   ジャンル: メディア  もらったいいね数: 29381  2018年６月にオープンした「世界のいまを知るネットメディア」GLOBE+(グローブ・プラス）の創刊編集長です。朝日新聞で記者を約20年。国際報道畑が長く、エルサレム、ロサンゼルスで特派員。いま一番関心を持っているのは「教育のこれから」。趣味はマラソン（ぎりぎりサブ４）。  … 続きを読む,https://newspicks.com//users/3468023/cover?width=128&height=128&circle=true&t=20191015152439000
